PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%
Bojan Bogdanovic,UTA,33,6-7,226,None,Croatia,2011,2,31,69,18.1,4.3,1.7,4.8,2.7,10.6,23.2,59.9,8.6
Bol Bol,ORL,22,7-2,220,Oregon,Sudan,2019,2,44,14,2.4,1.4,0.4,0.5,4.9,21.1,16,56.5,10.2
Bones Hyland,DEN,21,6-2,169,Virginia Commonwealth,USA,2021,1,26,69,10.1,2.7,2.8,1.7,1.1,13.3,23.1,55.8,22
Brad Wanamaker,WAS,32,6-3,210,Pittsburgh,USA,Undrafted,Undrafted,Undrafted,23,3.6,1.7,2.4,-6.4,1.8,10.7,14.6,47.2,24.3
Bradley Beal,WAS,29,6-4,207,Florida,USA,2012,1,3,40,23.2,4.7,6.6,-3.5,2.6,9.9,29.7,53.9,30.9
Brandon Boston,LAC,20,6-6,188,Kentucky,USA,2021,2,51,51,6.7,2.2,1,-2,2,11.1,21.2,48.1,10.3
Brandon Clarke,MEM,25,6-8,215,Gonzaga,Canada,2019,1,21,64,10.4,5.3,1.3,7.5,9.9,14.8,17.1,66,10.1
Brandon Goodwin,CLE,26,6-0,180,Florida Gulf Coast,USA,Undrafted,Undrafted,Undrafted,36,4.8,1.9,2.5,-6.3,2.8,11,17.7,50.1,27.8
Brandon Ingram,NOP,24,6-8,190,Duke,USA,2016,1,2,55,22.7,5.8,5.6,3.3,1.9,15.2,29.1,55.4,26.8
Brandon Knight,DAL,30,6-2,182,Kentucky,USA,2011,1,8,5,6.4,1.6,1.6,-3.6,0,9.8,21.6,56.1,20
Brandon Williams,POR,22,6-2,190,Arizona,USA,Undrafted,Undrafted,Undrafted,24,12.9,3.1,3.9,-20.4,2.6,8.9,24.6,47.6,23.5
Braxton Key,DET,25,6-8,225,Virginia,USA,Undrafted,Undrafted,Undrafted,11,7.2,4.5,1,8,5.8,18.7,18.4,50.8,7.7
Brodric Thomas,BOS,25,6-5,185,None,USA,Undrafted,Undrafted,Undrafted,12,1.8,0.8,0.9,3,3.4,10.3,17.2,52,23.9
Brook Lopez,MIL,34,7-0,282,Stanford,USA,2008,1,10,13,12.4,4.1,0.5,-1.4,5.8,10.8,21.1,57,3
Bruce Brown,BKN,25,6-4,202,Miami,USA,2018,2,42,72,9,4.8,2.1,-0.3,5.6,13,14.6,57.5,11.4
Bruno Fernando,HOU,23,6-9,240,Maryland,Angola,2019,2,34,30,2.9,1.8,0.2,-10.1,10.2,22.3,19.7,67.1,8.2
Bryn Forbes,DEN,28,6-2,205,Michigan State,USA,Undrafted,Undrafted,Undrafted,75,8.8,1.2,1,-0.5,0.7,6.3,20.1,57.4,8.6
Buddy Hield,IND,29,6-4,220,Oklahoma,Bahamas,2016,1,6,81,15.6,4.4,2.8,-3.6,2.5,11.4,21.4,54.8,13.5
CJ Elleby,POR,22,6-6,200,Washington State,USA,2020,2,46,58,5.8,3.9,1.5,-14.3,5.2,14.1,14.3,49.1,10.9
CJ McCollum,NOP,30,6-3,190,Lehigh,USA,2013,1,10,62,22.1,4.3,5.1,-1.9,2.4,10.1,26.9,55.3,23.8
CJ Miles,BOS,35,6-6,220,No College,USA,2005,2,34,1,0,0,0,-100,0,0,0,0,0
Cade Cunningham,DET,20,6-6,220,Oklahoma State,USA,2021,1,1,64,17.4,5.5,5.6,-6.2,2.6,14.3,27.3,50.4,28.3
Caleb Martin,MIA,26,6-5,205,Nevada,USA,Undrafted,Undrafted,Undrafted,60,9.2,3.8,1.1,5.7,5.4,11.4,15.8,61.1,6.8
Cam Reddish,NYK,22,6-8,217,Duke,USA,2019,1,10,49,10.1,2.1,1,-9.8,2.3,7.5,21.3,54.3,7.8
Cam Thomas,BKN,20,6-3,210,Louisiana State,Japan,2021,1,27,67,8.5,2.4,1.2,-6.4,1.3,11.8,21.2,51.9,10.2
Cameron Johnson,PHX,26,6-8,210,North Carolina,USA,2019,1,11,66,12.5,4.1,1.5,6.2,2.3,12.3,16.7,62.5,7.9
Cameron McGriff,POR,24,6-7,220,Oklahoma State,USA,Undrafted,Undrafted,Undrafted,3,4.7,5,1,7.3,9.8,20.9,12.2,47,8.6
Cameron Oliver,ATL,25,6-8,239,Nevada,USA,Undrafted,Undrafted,Undrafted,2,11.5,3,1.5,-0.9,5.1,12.1,16.7,70.5,9.7
Cameron Payne,PHX,27,6-1,183,Murray State,USA,2015,1,14,58,10.8,3,4.9,6.3,1.8,10.9,23.5,50,31.8
Caris LeVert,CLE,27,6-6,205,Michigan,USA,2016,1,20,58,17,3.7,4.3,-1.8,2.4,9.7,25.2,52.5,21.9
Carlik Jones,DEN,24,6-0,174,Louisville,USA,Undrafted,Undrafted,Undrafted,5,0.8,0.6,1,-33.1,4.2,6.9,22,20.2,41.7
Carmelo Anthony,LAL,38,6-7,238,Syracuse,USA,2003,1,3,69,13.3,4.2,1,-2.9,3.4,11.6,19.5,57.9,5.6
Carsen Edwards,DET,24,5-11,200,Purdue,USA,2019,2,33,4,5.8,1.5,3.5,-5.9,2.2,4.4,17.9,37.8,25
Cassius Stanley,DET,22,6-5,190,Duke,USA,2020,2,54,9,5.8,2.1,0.4,-4.3,2.8,8.4,14.8,51.6,4.3
Cassius Winston,WAS,24,6-1,185,Michigan State,USA,2020,2,53,7,2,0.1,1,-3.4,0,2.7,18.4,54.9,28
Cat Barber,ATL,27,6-1,173,North Carolina State,USA,2016,,,3,0,1,1,34.6,9.1,28.6,21.9,0,20
Cedi Osman,CLE,27,6-7,230,None,Turkey,2015,2,31,66,10.7,2.2,2,-1.8,1.7,8,20.6,56.3,14.4
Chandler Hutchison,PHX,26,6-6,210,Boise State,USA,2018,1,22,6,0.7,0.8,0.3,27.3,0,16.7,11.1,69.4,10.5
Charles Bassey,PHI,21,6-9,230,Western Kentucky,Nigeria,2021,2,53,23,3,2.7,0.3,-8.8,12.4,23.3,15.2,66,7
Charlie Brown Jr.,PHI,25,6-6,199,St. Joseph's (PA),USA,Undrafted,Undrafted,Undrafted,22,1.4,1.5,0.3,-3.6,6.7,8.8,10.5,34.6,4.5
Chaundee Brown Jr.,ATL,23,6-5,215,Michigan,USA,Undrafted,Undrafted,Undrafted,5,6.2,3.2,0.8,-8.7,0.9,13.9,14.6,44.7,5.6
Cheick Diallo,DET,25,6-8,219,Kansas,Mali,2016,2,33,3,3.7,4,0,-50.7,9.8,29.6,14.5,51.7,0
Chimezie Metu,SAC,25,6-9,225,Southern California,USA,2018,2,49,60,8.9,5.6,1,-5.7,2.7,22.7,18.4,54.6,7.1
Chris Boucher,TOR,29,6-9,200,Oregon,Saint Lucia,Undrafted,Undrafted,Undrafted,80,9.4,6.2,0.3,5.3,9.5,18.3,17.2,57,2.2
Chris Chiozza,GSW,26,5-11,175,Florida,USA,Undrafted,Undrafted,Undrafted,34,2,1.1,1.9,-7.9,2.3,7.3,13.2,40.7,26.4
Chris Duarte,IND,25,6-5,190,Oregon,Dominican Republic,2021,1,13,55,13.1,4.1,2.1,-2,2.6,11.7,20.7,53.7,11
Chris Paul,PHX,37,6-0,175,Wake Forest,USA,2005,1,4,65,14.7,4.4,10.8,10,1.1,11.3,19.7,58.1,43.4
Chris Silva,MIA,25,6-8,234,South Carolina,Gabon,Undrafted,Undrafted,Undrafted,10,2.6,3.6,0.7,-16.1,12.7,27.4,12.3,64.1,13
Christian Wood,HOU,26,6-9,214,UNLV,USA,Undrafted,Undrafted,Undrafted,68,17.9,10.1,2.3,-9.1,5.1,26.5,23.3,59.5,12.4
Chuma Okeke,ORL,23,6-6,229,Auburn,USA,2019,1,16,70,8.6,5,1.7,-8.8,2.4,16.5,15.9,50.1,10.4
Clint Capela,ATL,28,6-10,256,None,Switzerland,2014,1,25,74,11.1,11.9,1.2,3.3,13.3,28.4,14.9,60.4,6.2
Coby White,CHI,22,6-4,195,North Carolina,USA,2019,1,7,61,12.7,3,2.9,-1.2,1.1,9.9,19.5,56.4,14.7
Cody Martin,CHA,26,6-6,205,Nevada,USA,2019,2,36,71,7.7,4,2.5,0.1,4.3,10.8,12,57.9,12.4
Cody Zeller,POR,29,6-11,240,Indiana,USA,2013,1,4,27,5.2,4.6,0.8,-2.1,12.8,21.2,15.3,62.7,8.7
Cole Anthony,ORL,22,6-3,185,North Carolina,USA,2020,1,15,65,16.3,5.4,5.7,-5.4,1.5,14.5,24.5,51.9,28.1
Collin Sexton,CLE,23,6-1,190,Alabama,USA,2018,1,8,11,16,3.3,2.1,-5.8,4.1,6.6,26.4,52.3,12.5
Corey Kispert,WAS,23,6-6,224,Gonzaga,USA,2021,1,15,77,8.2,2.7,1.1,0.1,3,8.4,14.2,58.6,6.4
Cory Joseph,DET,30,6-3,200,Texas,Canada,2011,1,29,65,8,2.7,3.6,-6.4,1.7,9.2,14.1,57.9,22
Craig Sword,WAS,28,6-3,196,Mississippi State,USA,Undrafted,Undrafted,Undrafted,3,2,0,0.3,8.3,0,0,12.5,75,10
D'Angelo Russell,MIN,26,6-4,193,Ohio State,USA,2015,1,2,65,18.1,3.3,7.1,4.7,1.1,8.9,24.6,54.4,32
D.J. Augustin,LAL,34,5-11,183,Texas-Austin,USA,2008,1,9,55,5.3,1.2,1.9,-10.6,1.2,6.5,13.9,61,17.6
D.J. Wilson,TOR,26,6-10,231,Michigan,USA,2017,1,17,4,7.5,4,1.3,-16.5,1.7,23.8,15.9,77.3,14.7
DaQuan Jeffries,MEM,24,6-5,222,Tulsa,USA,Undrafted,Undrafted,Undrafted,3,0.7,0.7,0.3,-10.5,0,25,9.1,50,16.7
Daishen Nix,HOU,20,6-4,226,None,USA,Undrafted,Undrafted,Undrafted,24,3.2,1.4,1.7,-6.6,2.6,10.3,16.7,48,20.8
Dakota Mathias,MEM,26,6-4,200,Purdue,USA,2018,,,6,1,0.3,0.2,-25.4,0,15.4,15,50,12.5
Dalano Banton,TOR,22,6-7,204,Nebraska,Canada,2021,2,46,64,3.2,1.9,1.5,1.5,4.8,12.4,15.9,46.3,19.7
Damian Jones,SAC,27,6-11,245,Vanderbilt,USA,2016,1,30,56,8.1,4.4,1.2,-6.8,7.4,16.4,16.3,70.1,10.6
Damian Lillard,POR,31,6-2,195,Weber State,USA,2012,1,6,29,24,4.1,7.3,-1.8,1.2,10.4,28.8,55,32.1
Damion Lee,GSW,29,6-5,210,Drexel,USA,Undrafted,Undrafted,Undrafted,63,7.4,3.2,1,2.8,2.2,13.6,15.6,56.1,7.2
Damyean Dotson,NYK,28,6-5,210,Houston,USA,2017,2,44,2,2,1,0.5,-0.8,0,11.1,8.9,50,7.1
Daniel Gafford,WAS,23,6-9,234,Arkansas,USA,2019,2,38,72,9.4,5.7,0.9,-6.9,10.7,16.9,16,70.8,7.1
Daniel Oturu,TOR,22,6-8,240,Minnesota,USA,2020,2,33,3,3,1.7,0,-36.8,3.6,14.8,12.5,54.9,0
Daniel Theis,BOS,30,6-9,245,None,Germany,Undrafted,Undrafted,Undrafted,47,8.2,4.9,0.9,-3.9,6.1,15.9,16.2,59.5,6.8
Danilo Gallinari,ATL,33,6-10,236,None,Italy,2008,1,6,66,11.7,4.7,1.5,3.4,2.1,16.1,18.2,57.9,8.6
Danny Green,PHI,35,6-6,215,North Carolina,USA,2009,2,46,62,5.9,2.5,1,3,2.5,9.1,12.1,56.1,6.5
Danuel House Jr.,UTA,29,6-6,220,Texas A&M,USA,Undrafted,Undrafted,Undrafted,42,5.9,2.6,1,3.8,2.3,11.8,14.6,55.5,8.7
Darius Bazley,OKC,22,6-8,208,None,USA,2019,1,23,69,10.8,6.3,1.4,-11.3,3.4,17.6,18,51.5,7.8
Darius Garland,CLE,22,6-1,192,Vanderbilt,USA,2019,1,5,68,21.7,3.3,8.6,6.6,1.7,7.4,27.2,57.6,37.8
Darren Collison,LAL,34,6-0,160,UCLA,USA,2009,1,21,3,1.3,1.3,0.7,-18.4,0,9.1,7.7,28.6,6.3
David Duke Jr.,BKN,22,6-4,204,Providence,USA,Undrafted,Undrafted,Undrafted,22,4.7,3,0.8,0.1,7.7,10.5,15,44.4,6.6
David Johnson,TOR,21,6-4,203,Louisville,USA,2021,2,47,2,0,0,0,-75,0,0,14.3,0,0
David Nwaba,HOU,29,6-5,219,Cal Poly-Obispo,USA,Undrafted,Undrafted,Undrafted,46,5.1,3.3,0.8,-9,6.1,17.9,15,56.7,8.5
Davion Mitchell,SAC,23,6-0,202,Baylor,USA,2021,1,9,75,11.5,2.2,4.2,-6,1.5,6.2,20.2,48.9,23.5
Davis Bertans,DAL,29,6-10,225,None,Latvia,2011,2,42,56,5.6,2.1,0.6,1,1.4,12.7,16.5,53.1,5.4
Davon Reed,DEN,27,6-5,206,Miami,USA,2017,2,32,48,4.4,2.3,1.1,0.3,2.1,14,11.7,62.4,11.5
Day'Ron Sharpe,BKN,20,6-9,265,North Carolina,USA,2021,1,29,32,6.2,5,0.5,6.9,19.7,19.8,20.5,59.3,6.2
De'Aaron Fox,SAC,24,6-3,185,Kentucky,USA,2017,1,5,59,23.2,3.9,5.6,-4.4,1.2,9.6,28.4,54.9,25.4
De'Andre Hunter,ATL,24,6-8,221,Virginia,USA,2019,1,4,53,13.4,3.3,1.3,0.7,1.6,9.3,19.4,54.7,6
De'Anthony Melton,MEM,24,6-2,200,Southern California,USA,2018,2,46,73,10.8,4.5,2.7,5.6,3.4,15,20.5,52.9,15.7
DeAndre Jordan,PHI,33,6-11,265,Texas A&M,USA,2008,2,35,48,4.3,5.5,0.4,-10.8,12.7,26.2,13.2,64.1,5.1
DeAndre' Bembry,MIL,27,6-5,210,St. Joseph's (PA),USA,2016,1,21,56,5.1,2.9,1.2,-0.6,4.2,10.6,11.1,60.1,8.7
DeJon Jarreau,IND,24,6-5,185,Houston,USA,Undrafted,Undrafted,Undrafted,1,0,0,0,100,0,0,0,0,0
DeMar DeRozan,CHI,32,6-6,220,Southern California,USA,2009,1,9,76,27.9,5.2,4.9,1.1,2.1,12.2,30.8,59,22.8
DeMarcus Cousins,DEN,31,6-10,270,Kentucky,USA,2010,1,5,48,9,5.6,1.5,2.2,10.3,28.1,26.7,56.7,15.3
Dean Wade,CLE,25,6-9,228,Kansas State,USA,Undrafted,Undrafted,Undrafted,51,5.3,2.9,1,2,3.1,12,10.7,58.4,7.7
Deandre Ayton,PHX,23,6-11,250,Arizona,Bahamas,2018,1,1,58,17.2,10.2,1.4,9.6,9.3,24.1,21.7,65.6,7.1
Deividas Sirvydis,DET,22,6-8,190,None,Lithuania,2019,2,37,3,1,2,0.3,-42.3,0,20,14.9,15,6.3
Dejounte Murray,SAS,25,6-4,180,Washington,USA,2016,1,29,68,21.1,8.3,9.2,1.9,3.1,19.6,26.8,53.3,38.8
Delon Wright,ATL,30,6-5,185,Utah,USA,2015,1,20,77,4.4,2.9,2.4,2.8,3.5,11.6,10.1,57.6,17.8
Deni Avdija,WAS,21,6-9,210,None,Israel,2020,1,9,82,8.4,5.2,2,-1,2.7,18.2,15.8,53.6,11.7
Dennis Schroder,HOU,28,6-1,172,None,Germany,2013,1,17,64,13.5,3.3,4.6,-1,1.8,9.7,22.3,53.9,25.6
Dennis Smith Jr.,POR,24,6-2,205,North Carolina State,USA,2017,1,9,37,5.6,2.4,3.6,-9.8,2.9,10.7,17.3,47.4,31.1
Denzel Valentine,UTA,28,6-4,220,Michigan State,USA,2016,1,14,24,2.9,1.8,0.5,-5.1,4,15,15,52.3,7.4
Derrick Favors,OKC,30,6-9,265,Georgia Tech,USA,2010,1,3,39,5.3,4.7,0.6,-11,7.9,17.8,13.1,53.4,6.1
Derrick Jones Jr.,CHI,25,6-6,210,UNLV,USA,Undrafted,Undrafted,Undrafted,51,5.6,3.3,0.6,2.7,6.8,12.1,11.9,63.3,4.3
Derrick Rose,NYK,33,6-2,200,Memphis,USA,2008,1,1,26,12,3,4,5.8,3.2,8,21.7,54.1,26.6
Derrick Walton Jr.,DET,27,6-0,185,Michigan,USA,Undrafted,Undrafted,Undrafted,3,6.3,3.3,7,0.5,1.5,6.8,14.2,34.2,26.9
Derrick White,BOS,27,6-4,190,Colorado,USA,2017,1,29,75,13.2,3.5,4.9,4.9,1.7,9.4,19.6,54.9,23.1
Desmond Bane,MEM,24,6-5,215,TCU,USA,2020,1,30,76,18.2,4.4,2.7,6.9,1.8,11.8,22.6,59.2,13.6
Devin Booker,PHX,25,6-5,206,Kentucky,USA,2015,1,13,68,26.8,5,4.8,9.5,2,11.7,31.3,57.6,21.2
Devin Cannady,ORL,26,6-2,183,Princeton,USA,2019,,,5,10,1.2,2,-2.6,0.6,3.2,15.6,53.1,10.2
Devin Vassell,SAS,21,6-5,200,Florida State,USA,2020,1,11,71,12.3,4.3,1.9,1,2.1,12.8,18.4,54,9.6
Devon Dotson,CHI,22,6-1,185,Kansas,USA,Undrafted,Undrafted,Undrafted,11,2.6,0.8,1.4,-2.4,1.1,10.5,15.6,53.8,28.3
Devontae Cacok,SAS,25,6-7,240,North Carolina-Wilmington,USA,Undrafted,Undrafted,Undrafted,15,3.1,2.8,0.4,-1.6,5.8,27.9,12.2,67.5,7.3
Devonte' Graham,NOP,27,6-1,195,Kansas,USA,2018,2,34,76,11.9,2.3,4.2,0.3,1.7,6.4,19.1,51.4,21
Dewayne Dedmon,MIA,32,7-0,245,Southern California,USA,Undrafted,Undrafted,Undrafted,67,6.3,5.8,0.7,3.5,10,25.1,16.4,63.2,6.9
Didi Louzada,POR,22,6-5,188,None,Brazil,2019,2,35,9,3.9,1.9,0.6,-29.1,3.4,9.6,13,51.7,7
Dillon Brooks,MEM,26,6-7,225,Oregon,Canada,2017,2,45,32,18.4,3.2,2.8,11,3,8,28.3,51.5,14.7
Domantas Sabonis,SAC,26,6-11,240,Gonzaga,Lithuania,2016,1,11,62,18.9,12.1,5.2,-0.6,9.2,26.4,22.1,63.7,23.9
Donovan Mitchell,UTA,25,6-1,215,Louisville,USA,2017,1,13,67,25.9,4.2,5.3,5.9,2.4,9.6,32.2,57.2,26.7
Donte DiVincenzo,SAC,25,6-4,203,Villanova,USA,2018,1,17,42,9,4,2.8,-3.7,3.9,12.5,18.7,51,16.7
Dorian Finney-Smith,DAL,29,6-7,220,Florida,USA,Undrafted,Undrafted,Undrafted,80,11,4.7,1.9,4.4,4.7,9.5,13.8,60.4,8
Doug McDermott,SAS,30,6-7,225,Creighton,USA,2014,1,11,51,11.3,2.3,1.3,-1.8,1.4,7.6,17.8,59.3,6.8
Draymond Green,GSW,32,6-6,230,Michigan State,USA,2012,2,35,46,7.5,7.3,7,7.2,3.4,20.4,14,58.2,32.5
